Cuisine,dairy,fat,fruit,italian,legume,meat,mexican,nut,spice,starch,sweet,vegetable
Mexican Food,0,1,0,0,0,2,1,0,5,0,0,3
Italian Cuisine,3,0,0,4,0,2,0,0,0,0,0,0
Italian Cuisine,0,0,0,1,0,1,0,0,0,2,0,0
Indian Food,0,0,0,0,0,0,0,0,3,0,0,0
Cajun Food,0,0,0,0,0,5,0,0,4,1,0,3
Soul Food,0,2,0,0,0,2,0,1,1,3,0,4
Thai Food,0,0,0,0,0,0,0,0,2,1,0,0
Greek Cuisine,1,2,1,0,0,4,0,0,1,0,0,0
Chinese Food,0,0,0,0,0,0,0,0,0,0,0,0
Chinese Food,0,1,0,0,0,3,0,0,2,2,0,2
Lebanese Cuisine,0,0,1,0,0,3,0,0,0,1,0,3
Japanese Cuisine,0,1,0,0,0,0,0,0,1,1,0,1
American Food,0,1,0,1,0,2,0,0,2,1,0,0
Moroccan Food,0,2,2,0,0,6,0,0,1,4,0,2
Mediterranean Cuisine,0,2,1,0,0,1,0,0,0,0,0,1
French Food,1,1,0,0,0,0,0,0,0,1,0,0
Spanish Cuisine,0,0,0,0,0,1,0,0,3,0,0,0
German Food,1,0,0,0,0,2,0,0,0,1,0,0
Korean Food,0,0,0,0,0,2,0,0,0,1,0,1
Vietnamese Food,0,1,1,0,0,3,0,0,3,0,1,1
Turkish Cuisine,1,3,0,0,0,2,0,0,1,1,0,2
Caribbean Food,0,1,2,0,1,3,0,0,3,2,0,0